Age (ka),PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30
100,-0.34204,0.24756,0.073426,0.095029,-0.13197,-0.21845,0.03147,-0.059859,-0.098582,0.030733,-0.025335,0.069385,0.10229,-0.11763,-0.088652,-0.083312,0.14624,0.090673,-0.093541,0.08276,0.023722,-0.0086685,0.04325,-0.00063383,-0.060988,-0.0038395,0.071629,-0.0032496,-0.021518,-0.0045286
102,-0.36712,0.10401,-0.027726,-0.15488,-0.13768,-0.048943,-0.064644,0.0088583,-0.13459,-0.11324,0.060254,0.18061,-0.060066,-0.0066933,-0.053961,-0.016422,0.082534,0.17493,0.0020584,0.11192,0.07853,0.029833,0.036721,-0.019134,0.012013,0.014635,-0.018578,-0.011403,-0.011453,0.012617
104,-0.43389,0.12815,0.1521,-0.11903,-0.037239,-0.019588,-0.16587,0.019997,-0.047649,-0.036674,0.0075374,0.2743,-0.133,-0.052409,-0.11516,-0.01377,-0.08813,0.13741,-0.024144,0.12271,0.11544,-0.049263,0.023893,0.019749,-0.0095322,0.032295,0.024722,-0.014662,-0.0026081,0.014895
106,-0.30196,0.17867,0.0064664,-0.065468,0.10859,0.20167,-0.060125,-0.00086122,-0.085604,-0.21929,0.050404,-0.015466,-0.12529,0.091223,0.031577,-0.023373,0.055306,-0.064353,0.0091776,-0.1165,0.16709,-0.11974,-0.011353,-0.0065944,-0.040138,0.031001,-0.0011576,-0.00031106,-0.01317,-0.0053255
108,-0.29115,0.12176,-0.12168,-0.2035,0.017563,0.15662,0.097674,-0.12721,-0.14119,-0.16742,0.13026,-0.034778,-0.042163,-0.06476,0.018979,0.059318,0.10296,-0.10158,0.017887,-0.028294,0.00040355,-0.040963,0.026722,-0.014333,0.025016,-0.033443,-0.014147,0.0035186,-0.018192,-0.0044948
110,-0.39249,0.12396,-0.18368,-0.30324,0.10401,0.16484,0.067443,-0.10331,-0.12946,-0.15472,0.081891,0.014569,-0.11973,-0.0032149,0.014363,0.10042,0.018189,-0.14506,0.012012,-0.038135,0.00054359,-0.013928,0.020166,0.025252,0.051203,-0.011242,0.014635,-0.0091157,-0.010519,0.011191
112,-0.43276,0.079815,-0.014422,-0.35623,-0.035321,0.05176,0.010547,-0.092468,0.016396,0.007983,-0.081011,0.19297,-0.10677,-0.014214,-0.093524,0.12327,-0.066246,-0.0686,-0.021775,-0.026358,-0.11135,-0.052218,0.0065339,0.040252,0.019287,-0.023577,0.035218,-0.0035135,-0.013022,0.0024331
114,-0.57767,0.24348,0.19074,-0.19505,-0.012534,0.14129,-0.060951,-0.081344,0.057015,-0.0040138,0.0067678,0.10165,-0.026596,-0.10798,-0.059956,0.062838,-0.055098,-0.065137,0.028955,-0.064474,-0.023965,-0.15782,-0.0047644,-0.0022426,-0.018319,-0.030099,-0.02695,0.021096,-0.01352,-0.018205
116,-0.72828,0.2918,0.099526,-0.13091,-0.13167,0.052167,-0.099928,-0.054801,0.085278,0.040323,0.039223,0.09153,0.02995,-0.0089952,-0.041734,0.050875,-0.10071,0.012419,0.11234,-0.033278,-0.041306,-0.08093,-0.015904,-0.015268,0.032312,-0.0073522,-0.10523,0.026685,0.0045534,-0.0081183
118,-0.79701,0.3247,0.019914,-0.17584,-0.056071,-0.0076263,-0.062718,0.020472,0.1205,-0.046413,0.021675,-0.036324,0.028003,-0.003278,-0.088378,-0.050267,0.046247,0.037181,-0.017735,-0.052463,0.029525,0.09826,-0.010555,0.026928,-0.017371,0.010478,0.04236,-0.0064679,-0.00060801,0.016546
